idword,word
1,a
2,ai
3,am
4,an
5,ang
6,anh
7,ao
8,au
9,ba
10,bai
11,ban
12,bang
13,banh
14,bao
15,basoi
16,bay
17,be
18,bem
19,ben
20,beng
21,beo
22,bi
23,bia
24,bin
25,binh
26,bien
27,bieng
28,biec
29,biem
30,biet
31,bieu
32,bo
33,bom
34,bon
35,bong
36,boong
37,bu
38,bua
39,bung
40,buon
41,buong
42,buyt
43,buot
44,buoi
45,buom
46,buoc
47,bam
48,bau
49,bac
50,bach
51,bat
52,bec
53,bep
54,bet
55,benh
56,beu
57,bim
58,biu
59,bich
60,bit
61,boi
62,boc
63,bop
64,bot
65,bui
66,bum
67,bun
68,bup
69,but
70,buu
71,buou
72,buop
73,bap
74,bech
75,bip
76,buc
77,ca
78,cai
79,cam
80,can
81,canh
82,cao
83,cau
84,cay
85,cha
86,chai
87,chan
88,chang
89,chanh
90,chao
91,chau
92,chay
93,che
94,chem
95,chen
96,cheng
97,cheo
98,chi
99,chia
100,chim
101,chinh
102,chiu
103,chiem
104,chien
105,chieng
106,chieu
107,chiec
108,chiep
109,chiet
110,cho
111,choang
112,choi
113,chong
114,choai
115,choa
116,choan
117,choen
118,choe
119,choong
120,choac
121,choap
122,choat
123,choet
124,chu
125,chua
126,chui
127,chum
128,chun
129,chung
130,chuyen
131,chuoi
132,chuom
133,chuong
134,chuan
135,chuech
136,chuoc
137,chuot
138,chuon
139,cham
140,chac
141,chat
142,chep
143,chet
144,chenh
145,chich
146,chin
147,chip
148,chit
149,chom
150,choc
151,chop
152,chot
153,chon
154,chuy
155,chuc
156,chut
157,chuop
158,chach
159,chap
160,chech
161,chup
162,co
163,coi
164,com
165,con
166,cong
167,coong
168,cooc
169,cu
170,cua
171,cui
172,cum
173,cun
174,cung
175,cuoc
176,cuoi
177,cuon
178,cuong
179,cuom
180,cang
181,cac
182,cach
183,cap
184,cat
185,coc
186,cop
187,cot
188,cuc
189,cup
190,cut
191,cuu
192,cuop
193,da
194,dai
195,dam
196,dan
197,dang
198,danh
199,dao
200,day
201,de
202,deo
203,di
204,dim
205,dinh
206,diem
207,dien
208,dieu
209,diec
210,diep
211,diet
212,do
213,doa
214,doan
215,doanh
216,doi
217,dom
218,don
219,dong
220,doai
221,doang
222,du
223,dua
224,dun
225,dung
226,duy
227,duyen
228,duyet
229,duenh
230,duoc
231,duoi
232,dau
233,dac
234,dat
235,den
236,dep
237,denh
238,dia
239,diu
240,dich
241,dip
242,doc
243,dot
244,dui
245,dum
246,dut
247,duong
248,duot
249,dap
250,det
251,dit
252,dop
253,duc
254,e
255,em
256,en
257,eng
258,eo
259,ga
260,gai
261,gam
262,gan
263,gang
264,ganh
265,gao
266,gau
267,gay
268,gen
269,ghe
270,ghen
271,ghi
272,ghim
273,ghiec
274,ghien
275,ghem
276,ghep
277,ghet
278,gheo
279,ghech
280,ghenh
281,gi
282,gia
283,giai
284,giam
285,gian
286,giang
287,gianh
288,giao
289,gieo
290,gio
291,gioi
292,gion
293,giong
294,gip
295,giu
296,giua
297,giun
298,giuoc
299,giau
300,giay
301,giac
302,giap
303,giat
304,giem
305,gie
306,gieng
307,gioc
308,giui
309,gium
310,giup
311,giuong
312,giep
313,giec
314,giet
315,gien
316,gieu
317,giot
318,giop
319,giuc
320,giut
321,go
322,gom
323,gon
324,goa
325,goong
326,gram
327,gu
328,guoc
329,guoi
330,guong
331,gac
332,gap
333,gim
334,gin
335,gich
336,goc
337,goi
338,gop
339,got
340,gong
341,gui
342,gun
343,gung
344,gut
345,guom
346,gach
347,gat
348,guc
349,h
350,ha
351,hai
352,ham
353,han
354,hang
355,hanh
356,hao
357,hau
358,hay
359,he
360,hem
361,hen
362,heo
363,hi
364,hia
365,him
366,hiu
367,hien
368,hieng
369,hiem
370,hiep
371,hieu
372,ho
373,hoa
374,hoan
375,hoang
376,hoay
377,hoe
378,hoen
379,hoi
380,hom
381,hon
382,hong
383,hoai
384,hoanh
385,hoac
386,hoet
387,hoam
388,hoach
389,hoat
390,hu
391,hua
392,hum
393,hun
394,hung
395,huy
396,huynh
397,huyen
398,huyet
399,huan
400,hue
401,huenh
402,huych
403,huyt
404,huo
405,huech
406,huong
407,hac
408,hach
409,hat
410,hec
411,het
412,henh
413,hinh
414,hich
415,hip
416,hit
417,hoc
418,hop
419,hot
420,huc
421,hui
422,hup
423,hut
424,huu
425,huou
426,huoc
427,huom
428,hap
429,hep
430,hech
431,heu
432,i
433,im
434,in
435,inh
436,iu
437,ka
438,ke
439,kem
440,ken
441,keng
442,keo
443,kha
444,khai
445,kham
446,khan
447,khang
448,khanh
449,khao
450,khau
451,khay
452,khe
453,khem
454,khen
455,kheo
456,khi
457,khin
458,khinh
459,khiu
460,khiem
461,khien
462,khieng
463,khieu
464,khiep
465,khiet
466,kho
467,khoa
468,khoai
469,khoan
470,khoang
471,khoanh
472,khoe
473,khoeo
474,khom
475,khoao
476,khoac
477,khoat
478,khoay
479,khoet
480,khoam
481,khu
482,khua
483,khui
484,khum
485,khung
486,khuy
487,khuya
488,khuynh
489,khuyen
490,khuyet
491,khuan
492,khuang
493,khuay
494,khue
495,khuon
496,khuong
497,khuo
498,khuat
499,khuech
500,khuyu
501,khac
502,khach
503,khap
504,khat
505,khep
506,khet
507,khenh
508,kheu
509,khia
510,khich
511,khit
512,khong
513,khoc
514,khoi
515,khon
516,khuc
517,khuoi
518,khuom
519,khuoc
520,khuot
521,khuou
522,khec
523,khop
524,khut
525,khuu
526,ki
527,kia
528,kim
529,kinh
530,kiem
531,kien
532,kieng
533,kieu
534,kiep
535,kiet
536,kec
537,kep
538,ket
539,kenh
540,keu
541,kich
542,kin
543,kip
544,kit
545,ky
546,kech
547,la
548,lai
549,lam
550,lan
551,lang
552,lanh
553,lao
554,lau
555,lay
556,le
557,lem
558,len
559,leng
560,leo
561,li
562,lia
